Name,Quantity,Component
"U1",1," Arduino Uno R3"
"Rpot1",1,"1 kΩ,  Potentiometer"
"P1",1,"5 , 1  Power Supply"
"D1",1,"Green LED"
"D2",1,"Yellow LED"
"D3",1,"Orange LED"
"D4",1,"Red LED"
"D5",1,"Blue LED"
"R1, R2, R3, R4, R5",5,"1 kΩ Resistor"
