Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2 "
"R1",1,"1 kΩ Resistor"
"DIST1",1," Ultrasonic Distance Sensor"
"SERVO1",1," Micro Servo"
"PIEZO1",1," Piezo"
